EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
144199.516,174638.219,236787.688,-7168.652,174752.031,-61701.637,-75697.047,-63788.395,-0.048,0.991,-0.034,0.000,0.000,0.000,93.333,1.000,1.000
38444.824,-2767.861,209.928,95.487,1219.779,5169.780,705.510,-7195.116,-0.040,1.001,-0.047,0.000,0.000,0.000,93.333,2.000,1.000
488.877,-4853.190,0.000,0.000,-506.133,109.345,0.000,-1688.898,-0.034,1.005,-0.047,0.000,0.000,0.000,93.333,3.000,1.000
0.000,-4350.991,0.000,0.268,-3066.123,0.000,0.000,-1331.896,-0.035,1.007,-0.051,0.000,0.000,0.000,93.333,4.000,1.000
41.753,-3611.506,0.000,113.994,-3660.322,0.000,0.000,-982.940,-0.035,1.006,-0.049,0.519,0.427,0.061,93.333,5.000,1.000
307.918,-2981.276,0.000,323.296,-2958.924,0.000,0.000,-1210.749,-0.035,1.001,-0.055,3.876,2.106,0.366,93.333,6.000,1.000
108.004,-2516.270,0.000,-1434.267,-2407.372,-0.536,-9.209,-1258.850,-0.035,1.000,-0.055,0.916,-0.580,0.610,93.333,7.000,1.000
0.089,-2128.244,-8.047,-1754.523,-1949.430,-127.941,-439.793,-1303.286,-0.032,0.997,-0.055,0.031,-1.495,0.671,93.333,8.000,1.000
102.460,-1722.962,-465.721,-1354.873,-1531.631,-578.821,-1150.847,-1084.864,-0.030,0.996,-0.057,-0.214,-1.801,0.671,93.333,9.000,1.000
282.168,-1291.573,-1074.583,-963.807,-1136.094,-579.894,-982.672,-793.219,-0.029,0.993,-0.056,-0.275,-1.678,0.702,93.333,10.000,1.000
-637.382,-967.384,-917.852,-671.536,-864.297,-406.444,-764.787,-578.106,-0.030,0.994,-0.054,-0.214,-1.465,0.610,93.333,11.000,1.000
-777.751,-816.822,-824.422,-499.874,-735.194,-287.801,-669.390,-469.476,-0.029,0.996,-0.056,-0.275,-1.404,0.610,93.333,12.000,1.000
-749.499,-829.697,-848.383,-425.845,-726.253,-240.773,-675.738,-446.677,-0.029,0.996,-0.056,-0.336,-1.129,0.549,93.333,13.000,1.000
-828.982,-909.805,-1024.783,-410.646,-792.503,-273.049,-770.241,-502.378,-0.029,0.996,-0.053,-0.305,-0.977,0.458,93.333,14.000,1.000
-826.836,-854.641,-979.006,-279.754,-636.935,-275.910,-764.251,-462.949,-0.029,0.996,-0.055,-0.244,-0.824,0.427,93.333,15.000,1.000
-660.896,-766.128,-660.181,-174.969,-512.928,-330.895,-680.298,-477.076,-0.031,0.996,-0.055,-0.153,-0.580,0.458,93.333,16.000,1.000
-453.651,-639.618,-532.329,-217.348,-285.834,-164.777,-467.688,-462.145,-0.032,0.995,-0.054,-0.214,-0.366,0.397,93.333,17.000,1.000
-263.125,-423.521,-350.922,-218.511,-220.925,-113.994,-225.574,-384.361,-0.034,0.999,-0.052,-0.061,-0.244,0.275,93.333,18.000,1.000
-216.991,-305.682,-235.766,-210.911,-244.170,-166.923,-178.725,-215.381,-0.038,0.999,-0.053,0.000,-0.183,0.214,93.333,19.000,1.000
-209.659,-265.718,-215.113,-203.759,-232.995,-201.613,-172.913,-163.794,-0.042,0.999,-0.054,-0.153,-0.153,0.275,93.333,20.000,1.000
-203.848,-256.419,-208.229,-197.679,-219.405,-184.357,-168.532,-157.625,-0.043,1.000,-0.053,-0.061,-0.183,0.122,93.333,21.000,1.000
-198.573,-249.982,-202.239,-192.940,-211.537,-176.758,-164.419,-152.528,-0.046,1.002,-0.054,-0.183,-0.183,0.061,93.333,22.000,1.000
-194.103,-243.902,-196.964,-188.112,-205.815,-172.377,-160.843,-148.863,-0.043,1.003,-0.052,-0.336,-0.305,-0.031,93.333,23.000,1.000
-190.169,-238.895,-192.404,-184.000,-200.540,-168.175,-157.893,-145.912,-0.044,1.002,-0.050,-0.488,-0.427,-0.031,93.333,24.000,1.000
-186.056,-233.710,-188.202,-180.423,-195.712,-163.794,-155.300,-142.872,-0.044,1.003,-0.050,-0.702,-0.458,-0.092,93.333,25.000,1.000
-182.658,-228.792,-184.447,-176.936,-191.599,-160.664,-152.618,-139.922,-0.045,1.000,-0.055,-0.702,-0.488,-0.183,93.333,26.000,1.000
-179.172,-225.127,-180.781,-173.360,-187.397,-157.088,-150.293,-137.508,-0.043,0.996,-0.052,-0.824,-0.580,-0.153,93.333,27.000,1.000
-175.774,-220.925,-177.652,-170.231,-183.284,-154.853,-147.879,-135.005,-0.042,0.994,-0.053,-0.763,-0.580,-0.214,93.333,28.000,1.000
-173.092,-216.544,-174.969,-167.817,-179.529,-152.171,-145.912,-132.501,-0.040,0.991,-0.052,-0.641,-0.641,-0.244,93.333,29.000,1.000
-170.678,-212.610,-172.019,-165.224,-176.221,-149.578,-144.482,-130.355,-0.040,0.989,-0.052,-0.702,-0.519,-0.336,93.333,30.000,1.000
-168.085,-209.302,-169.337,-162.452,-173.360,-147.343,-142.962,-128.478,-0.039,0.991,-0.053,-0.641,-0.458,-0.336,93.333,31.000,1.000
-165.492,-205.904,-166.923,-160.217,-170.052,-144.929,-141.352,-126.690,-0.038,0.990,-0.051,-0.580,-0.427,-0.427,93.333,32.000,1.000
-163.078,-202.775,-164.419,-157.982,-167.280,-143.319,-139.922,-125.080,-0.039,0.990,-0.052,-0.366,-0.397,-0.305,93.333,33.000,1.000
-160.933,-200.093,-162.184,-156.105,-164.688,-141.352,-138.849,-123.471,-0.039,0.988,-0.050,-0.366,-0.397,-0.275,93.333,34.000,1.000
-158.876,-197.232,-160.307,-154.406,-162.184,-139.385,-137.508,-122.130,-0.036,0.989,-0.053,-0.061,-0.244,-0.336,93.333,35.000,1.000
-156.999,-194.371,-158.250,-152.439,-159.949,-137.776,-136.256,-120.789,-0.035,0.990,-0.051,0.122,-0.092,-0.366,93.333,36.000,1.000
-155.121,-191.867,-156.641,-150.561,-157.803,-136.167,-135.094,-119.180,-0.034,0.995,-0.051,0.275,-0.092,-0.275,93.333,37.000,1.000
-153.244,-189.453,-154.853,-148.863,-155.926,-135.005,-133.932,-118.107,-0.032,0.995,-0.053,0.305,0.061,-0.153,93.333,38.000,1.000
-151.634,-187.308,-153.065,-147.611,-154.048,-133.574,-133.216,-116.855,-0.033,0.996,-0.051,0.366,0.244,-0.092,93.333,39.000,1.000
-150.472,-184.804,-151.634,-146.180,-152.171,-132.144,-132.054,-115.693,-0.034,0.997,-0.051,0.336,0.397,-0.122,93.333,40.000,1.000
-149.220,-182.569,-150.114,-144.571,-150.293,-130.802,-131.160,-114.620,-0.032,1.000,-0.050,0.305,0.580,-0.244,93.333,41.000,1.000
